,filename,width,height
640,dog_0160._slice1.jpg,236,232
641,dog_0160._slice2.jpg,236,232
642,dog_0160._slice3.jpg,236,232
643,dog_0160._slice4.jpg,236,232
644,dog_0161._slice1.jpg,228,244
645,dog_0161._slice2.jpg,228,244
646,dog_0161._slice3.jpg,228,244
647,dog_0161._slice4.jpg,228,244
648,dog_0162._slice1.jpg,119,154
649,dog_0162._slice2.jpg,119,154
650,dog_0162._slice3.jpg,119,154
651,dog_0162._slice4.jpg,119,154
652,dog_0163._slice1.jpg,196,217
653,dog_0163._slice2.jpg,196,217
654,dog_0163._slice3.jpg,196,217
655,dog_0163._slice4.jpg,196,217
656,dog_0164._slice1.jpg,194,160
657,dog_0164._slice2.jpg,194,160
658,dog_0164._slice3.jpg,194,160
659,dog_0164._slice4.jpg,194,160
660,dog_0165._slice1.jpg,114,236
661,dog_0165._slice2.jpg,114,236
662,dog_0165._slice3.jpg,114,236
663,dog_0165._slice4.jpg,114,236
664,dog_0166._slice1.jpg,103,141
665,dog_0166._slice2.jpg,103,141
666,dog_0166._slice3.jpg,103,141
667,dog_0166._slice4.jpg,103,141
668,dog_0167._slice1.jpg,105,95
669,dog_0167._slice2.jpg,105,95
670,dog_0167._slice3.jpg,105,95
671,dog_0167._slice4.jpg,105,95
672,dog_0168._slice1.jpg,103,160
673,dog_0168._slice2.jpg,103,160
674,dog_0168._slice3.jpg,103,160
675,dog_0168._slice4.jpg,103,160
676,dog_0169._slice1.jpg,123,179
677,dog_0169._slice2.jpg,123,179
678,dog_0169._slice3.jpg,123,179
679,dog_0169._slice4.jpg,123,179
680,dog_0170._slice1.jpg,136,220
681,dog_0170._slice2.jpg,136,220
682,dog_0170._slice3.jpg,136,220
683,dog_0170._slice4.jpg,136,220
684,dog_0171._slice1.jpg,164,145
685,dog_0171._slice2.jpg,164,145
686,dog_0171._slice3.jpg,164,145
687,dog_0171._slice4.jpg,164,145
688,dog_0172._slice1.jpg,171,144
689,dog_0172._slice2.jpg,171,144
690,dog_0172._slice3.jpg,171,144
691,dog_0172._slice4.jpg,171,144
692,dog_0173._slice1.jpg,157,219
693,dog_0173._slice2.jpg,157,219
694,dog_0173._slice3.jpg,157,219
695,dog_0173._slice4.jpg,157,219
696,dog_0174._slice1.jpg,114,79
